nb_nodes,inf_times,inf_nb_visits,supr_times,supr_nb_visits,med_times,med_nb_visits
25,0.0007879734039306641,17,0.0005829334259033203,10,0.0006339550018310547,10
26,0.0014221668243408203,25,0.00024008750915527344,3,0.00034809112548828125,3
27,0.0003578662872314453,9,0.0015418529510498047,20,0.0006079673767089844,9
28,0.0009472370147705078,20,0.0005648136138916016,10,0.0006830692291259766,10
29,0.000370025634765625,10,0.0015628337860107422,21,0.0006220340728759766,10
30,0.0019788742065429688,30,0.00022983551025390625,2,0.0003139972686767578,2
31,0.0010409355163574219,21,0.0007860660552978516,12,0.0008080005645751953,12
32,0.00045990943908691406,12,0.0017609596252441406,22,0.000804901123046875,12
33,0.0008940696716308594,19,0.0011279582977294922,16,0.0012040138244628906,16
34,0.0009391307830810547,17,0.0014188289642333984,19,0.0013430118560791016,17
35,0.0015721321105957031,24,0.0008780956268310547,13,0.0009310245513916016,13
36,0.0006389617919921875,11,0.002404928207397461,27,0.000698089599609375,11
37,0.00024008750915527344,3,0.0037970542907714844,36,0.00030303001403808594,3
38,0.001580953598022461,21,0.0012989044189453125,19,0.0014219284057617188,19
39,0.0033299922943115234,33,0.0004889965057373047,8,0.0005748271942138672,8
40,0.0035789012908935547,38,0.00031113624572753906,4,0.00042700767517089844,4
41,0.0019729137420654297,29,0.0008599758148193359,14,0.0009779930114746094,14
42,0.0007691383361816406,17,0.0021610260009765625,27,0.0010890960693359375,17
43,0.001291036605834961,23,0.0016739368438720703,22,0.0016629695892333984,22
44,0.002351999282836914,30,0.001146078109741211,16,0.0012710094451904297,16
45,0.0010759830474853516,18,0.0026869773864746094,29,0.0012722015380859375,18
46,0.00045299530029296875,11,0.004765033721923828,37,0.0006430149078369141,11
47,0.004287004470825195,46,0.00035691261291503906,3,0.00038313865661621094,3
48,0.0007750988006591797,17,0.003262042999267578,33,0.001538991928100586,17
49,0.0019309520721435547,30,0.0019030570983886719,21,0.0018551349639892578,21
50,0.0028619766235351562,35,0.001341104507446289,17,0.0013611316680908203,17
51,0.0022699832916259766,31,0.001905202865600586,22,0.0018990039825439453,22
52,0.00026106834411621094,6,0.006381034851074219,48,0.0004291534423828125,6
53,0.0018270015716552734,29,0.002373218536376953,26,0.002104043960571289,26
54,0.000186920166015625,1,0.0075948238372802734,55,0.0002961158752441406,1
55,0.0040760040283203125,45,0.0008060932159423828,12,0.0009899139404296875,12
56,0.002165079116821289,31,0.0023670196533203125,27,0.002396106719970703,27
57,0.00021195411682128906,1,0.009009122848510742,58,0.0003161430358886719,1
58,0.006073951721191406,55,0.0005359649658203125,5,0.0004901885986328125,5
59,0.005187034606933594,50,0.000701904296875,11,0.0007920265197753906,11
60,0.0002319812774658203,4,0.008934974670410156,58,0.00035691261291503906,4
61,0.0021800994873046875,29,0.0034568309783935547,34,0.0029320716857910156,29
62,0.002193927764892578,32,0.003378152847290039,32,0.003651142120361328,32
63,0.0076520442962646484,62,0.0003380775451660156,3,0.0004849433898925781,3
64,0.0002570152282714844,5,0.009815216064453125,61,0.0004749298095703125,5
65,0.006033897399902344,55,0.0009570121765136719,12,0.0009720325469970703,12
66,0.003582000732421875,42,0.002488851547241211,26,0.0024878978729248047,26
67,0.007817983627319336,63,0.0005340576171875,6,0.0006129741668701172,6
68,0.0011680126190185547,21,0.006478071212768555,49,0.0016222000122070312,21
69,0.00652003288269043,57,0.001226186752319336,14,0.0011229515075683594,14
70,0.00896906852722168,68,0.0003991127014160156,4,0.0005240440368652344,4
71,0.0018138885498046875,27,0.0057070255279541016,46,0.002321004867553711,27
72,0.0026330947875976562,35,0.004689931869506836,39,0.0032510757446289062,35
73,0.006599903106689453,58,0.0014050006866455078,17,0.0014650821685791016,17
74,0.0035250186920166016,41,0.0043871402740478516,35,0.0042150020599365234,35
75,0.0034477710723876953,39,0.004499912261962891,38,0.004323005676269531,38
76,0.0032351016998291016,39,0.004914045333862305,39,0.00432586669921875,39
77,0.00022912025451660156,2,0.014336824417114258,77,0.0004119873046875,2
78,0.0005438327789306641,12,0.011662006378173828,68,0.0009310245513916016,12
79,0.009790897369384766,71,0.0007491111755371094,10,0.0009529590606689453,10
80,0.007292985916137695,61,0.001773834228515625,21,0.0020780563354492188,21
81,0.001219034194946289,22,0.009373903274536133,61,0.0016558170318603516,22
82,0.002290964126586914,31,0.007472991943359375,53,0.0031511783599853516,31
83,0.005166053771972656,51,0.004221916198730469,34,0.0036940574645996094,34
84,0.0033850669860839844,40,0.006166934967041016,46,0.004033803939819336,40
85,0.013139009475708008,82,0.0004858970642089844,5,0.0005190372467041016,5
86,0.009575843811035156,70,0.0014851093292236328,18,0.001519918441772461,18
87,0.00051116943359375,10,0.015098094940185547,79,0.0007519721984863281,10
88,0.006390094757080078,56,0.003780841827392578,34,0.0037190914154052734,34
89,0.004930973052978516,48,0.0055849552154541016,43,0.005498170852661133,43
90,0.003400087356567383,38,0.008296966552734375,54,0.004199981689453125,38
91,0.009444952011108398,64,0.003226041793823242,29,0.003181934356689453,29
92,0.0041790008544921875,43,0.0076520442962646484,51,0.0048580169677734375,43
93,0.0014808177947998047,24,0.012756824493408203,71,0.0019779205322265625,24
94,0.0005471706390380859,11,0.02085089683532715,85,0.0007741451263427734,11
95,0.009933948516845703,71,0.0026578903198242188,26,0.0023641586303710938,26
96,0.0003600120544433594,5,0.021181106567382812,93,0.0004949569702148438,5
97,0.006947994232177734,56,0.005816936492919922,43,0.00581812858581543,43
98,0.01049184799194336,74,0.0025739669799804688,26,0.002629995346069336,26
99,0.009092092514038086,67,0.0038819313049316406,34,0.004018068313598633,34
100,0.012957096099853516,82,0.0017690658569335938,20,0.0018799304962158203,20
101,0.00030803680419921875,1,0.0245819091796875,102,0.0005369186401367188,1
102,0.015316963195800781,90,0.001219034194946289,14,0.0012080669403076172,14
103,0.011332035064697266,77,0.002850055694580078,28,0.002952098846435547,28
104,0.008025169372558594,65,0.005092144012451172,41,0.00494384765625,41
105,0.010732889175415039,75,0.0033490657806396484,32,0.003443002700805664,32
106,0.014670133590698242,88,0.001850128173828125,20,0.0018329620361328125,20
107,0.0008318424224853516,16,0.02168107032775879,93,0.0011289119720458984,16
108,0.017987966537475586,96,0.001219034194946289,14,0.0012819766998291016,14
109,0.005959987640380859,54,0.009330034255981445,57,0.0073621273040771484,54
110,0.019840002059936523,101,0.0010380744934082031,11,0.0011088848114013672,11
111,0.006172895431518555,55,0.01005101203918457,58,0.007603168487548828,55
112,0.0033469200134277344,38,0.014683008193969727,76,0.004173994064331055,38
113,0.010992050170898438,75,0.0048980712890625,40,0.005142927169799805,40
114,0.004260063171386719,46,0.012782096862792969,70,0.0055539608001708984,46
115,0.019420146942138672,103,0.001199960708618164,14,0.0012149810791015625,14
116,0.005303144454956055,51,0.01198887825012207,67,0.006647825241088867,51
117,0.0011851787567138672,21,0.02388906478881836,98,0.0017499923706054688,21
118,0.011916875839233398,76,0.006094932556152344,44,0.006204128265380859,44
119,0.014986991882324219,89,0.0036270618438720703,32,0.003668069839477539,32
120,0.004231929779052734,45,0.016031980514526367,77,0.005318164825439453,45
121,0.0009808540344238281,18,0.02651691436767578,105,0.0013709068298339844,18
122,0.013185977935791016,81,0.0057790279388427734,43,0.0059299468994140625,43
123,0.02447795867919922,102,0.0022847652435302734,23,0.002386808395385742,23
124,0.0074520111083984375,54,0.014648914337158203,72,0.007360935211181641,54
125,0.03841805458068848,124,0.0005090236663818359,3,0.0006699562072753906,3
126,0.0011789798736572266,16,0.031084060668945312,112,0.0015048980712890625,16
127,0.0015060901641845703,19,0.03063678741455078,110,0.0015552043914794922,19
128,0.0034220218658447266,34,0.023891925811767578,96,0.0035140514373779297,34
129,0.018590927124023438,86,0.006308078765869141,45,0.006922006607055664,45
130,0.04053092002868652,129,0.0007030963897705078,3,0.0007691383361816406,3
131,0.035652875900268555,118,0.001283884048461914,15,0.0014801025390625,15
132,0.018088102340698242,84,0.008109807968139648,50,0.007863998413085938,50
133,0.0016341209411621094,21,0.030932903289794922,114,0.0016820430755615234,21
134,0.014020919799804688,76,0.010998964309692383,60,0.010457038879394531,60
135,0.002668142318725586,29,0.029603004455566406,108,0.003201007843017578,29
136,0.04398703575134277,134,0.0007159709930419922,4,0.0007481575012207031,4
137,0.03769111633300781,123,0.0015349388122558594,16,0.0016210079193115234,16
138,0.002485036849975586,28,0.03204798698425293,112,0.0030617713928222656,28
139,0.007647991180419922,55,0.01877117156982422,86,0.008667945861816406,55
140,0.017374038696289062,85,0.009617090225219727,57,0.009952068328857422,57
141,0.021413087844848633,93,0.008029937744140625,50,0.008393049240112305,50
142,0.01859903335571289,86,0.009671926498413086,58,0.01019287109375,58
143,0.007285118103027344,52,0.022636890411376953,93,0.008086919784545898,52
